iter,m5c_surrogate,m6_sumo_20k,m6b_sumo_100k
172,-1640.0000,,-2380.0000
173,-1640.0000,,-2380.0000
174,-1650.0000,,-2380.0000
175,-1650.0000,,-2380.0000
176,-1650.0000,,-2380.0000
177,-1650.0000,,-2370.0000
178,-1650.0000,,-2360.0000
179,-1660.0000,,-2360.0000
180,-1660.0000,,-2350.0000
181,-1650.0000,,-2340.0000
182,-1660.0000,,-2350.0000
183,-1660.0000,,-2340.0000
184,-1670.0000,,-2340.0000
185,-1660.0000,,-2330.0000
186,-1660.0000,,-2320.0000
187,-1650.0000,,-2310.0000
188,-1640.0000,,-2290.0000
189,-1630.0000,,-2270.0000
190,-1610.0000,,-2250.0000
191,-1600.0000,,-2230.0000
192,-1590.0000,,-2220.0000
193,-1590.0000,,-2200.0000
194,-1580.0000,,-2190.0000
195,-1580.0000,,-2180.0000
196,-1570.0000,,-2160.0000
197,-1570.0000,,-2150.0000
198,-1570.0000,,-2140.0000
199,-1560.0000,,-2130.0000
200,-1560.0000,,-2120.0000
201,-1550.0000,,-2110.0000
202,-1540.0000,,-2100.0000
203,-1540.0000,,-2100.0000
204,-1530.0000,,-2090.0000
205,-1530.0000,,-2090.0000
206,-1530.0000,,-2090.0000
207,-1530.0000,,-2090.0000
208,-1530.0000,,-2080.0000
209,-1530.0000,,-2080.0000
